"athlete_id","full_name","gender"
1,"Aagje Ada KOK","Female"
2,"Abir KHALIL","Female"
3,"Abishag SEMBERG","Female"
4,"Adela SYKOROVA","Female"
5,"Adelheid Barbara SCHMID","Female"
6,"Adriana ARAUJO","Female"
7,"Adriana BEHAR","Female"
8,"Adriana CARMONA GUTIERREZ","Female"
9,"Adriana CEREZO IGLESIAS","Female"
10,"Adriana DUNAVSKA","Female"
11,"Adriana SAMUEL RAMOS","Female"
12,"Adriana VISSER","Female"
13,"Agata WROBEL","Female"
14,"Agatha BEDNARCZUK","Female"
15,"Agnes KELETI","Female"
16,"Agnes KOVACS","Female"
17,"Agneta ANDERSSON","Female"
18,"Agnieszka CZOPEK","Female"
19,"Agnieszka Jadwiga WIESZCZEK-KORDUS","Female"
20,"Agnieszka SKRZYPULEC","Female"
21,"Ai SHIBATA","Female"
22,"Aida ROMAN","Female"
23,"Aikaterini Thanou","Female"
24,"Aimilia TSOULFA","Female"
25,"Aino-Kaisa SAARINEN","Female"
26,"Aisuluu TYNYBEKOVA","Female"
27,"Aki TAKAYAMA","Female"
28,"Akira SONE","Female"
29,"Akiyo NOGUCHI","Female"
30,"Alejandra OROZCO","Female"
31,"Aleksandra Gerasimenya","Female"
32,"Alenka DOVZAN","Female"
33,"Alessandra PERILLI","Female"
34,"Alessandra SENSINI","Female"
35,"Alessia FILIPPI","Female"
36,"Alex GOUGH","Female"
37,"Alex MALONEY","Female"
38,"Alexandra BARRE","Female"
39,"Alexandra BURGHARDT","Female"
40,"Alexandra Georgiana EREMIA","Female"
41,"Alexandra MEISSNITZER","Female"
42,"Alexandra TSIAVOU","Female"
43,"Alicia COUTTS","Female"
44,"Alicia MOLIK","Female"
45,"Alida Geertruida VAN DER ANKER-DOEDENS","Female"
46,"Alina ASTAFEI","Female"
47,"Alina DUMITRU","Female"
48,"Alina HARNASKO","Female"
49,"Aline FOCKEN","Female"
50,"Alisa CAMPLIN","Female"
51,"Alison SYDOR","Female"
52,"Alla CHERKASOVA","Female"
53,"Alla TSUPER","Female"
54,"Alla VAZHENINA","Female"
55,"Almaz AYANA","Female"
56,"Almudena MUNOZ MARTINEZ","Female"
57,"Aloise RETORNAZ","Female"
58,"Althea LAURIN","Female"
59,"Amalie DIDERIKSEN","Female"
60,"Amandine BUCHARD","Female"
61,"Amarilys SAVON","Female"
62,"Amelia PICCININI","Female"
63,"Amelie KOBER","Female"
64,"Amelie LUX","Female"
65,"Amelie MAURESMO","Female"
66,"Ami KONDO","Female"
67,"Amuro TSUZUKI","Female"
68,"Ana Fidelia QUIROT","Female"
69,"Ana GUEVARA","Female"
70,"Ana Marcela CUNHA","Female"
71,"Ana Maria POPESCU","Female"
72,"Ana PELETEIRO","Female"
73,"Anabel MEDINA GARRIGUES","Female"
74,"Anabelle SMITH","Female"
75,"Anais BESCOND","Female"
76,"Anais CHEVALIER","Female"
77,"Anamari VELENSEK","Female"
78,"Anastasia KELESIDOU","Female"
79,"Anastasiia CHETVERIKOVA","Female"
80,"Anastasiya KUZMINA","Female"
81,"Anastasiya SAVCHUK","Female"
82,"Anastasiya Samusevich-Prokopenko","Female"
83,"Anaysi HERNANDEZ","Female"
84,"Ancuta BODNAR","Female"
85,"Andrea FISCHBACHER","Female"
86,"Andrea FUENTES FACHE","Female"
87,"Andrea GYARMATI","Female"
88,"Andrea HENKEL","Female"
89,"Andrea HERZOG","Female"
90,"Andrea HLAVACKOVA","Female"
