"country_id","country_name","country_code","region"
1,"Algeria","ALG","Africa"
2,"Angola","AGO","Africa"
3,"Benin","BEN","Africa"
4,"Botswana","BOT","Africa"
5,"Burkina Faso","BUR","Africa"
6,"Burundi","BDI","Africa"
7,"Cameroon","CMR","Africa"
8,"Cape Verde","CPV","Africa"
9,"Central African Republic","CAF","Africa"
10,"Chad","TCD","Africa"
11,"Comoros","COM","Africa"
12,"DR Congo",NULL,"Africa"
13,"Djibouti","DJI","Africa"
14,"Egypt","EGY","Africa"
15,"Equatorial Guinea","GNQ","Africa"
16,"Eritrea","ERI","Africa"
17,"Eswatini","SWZ","Africa"
18,"Ethiopia","ETH","Africa"
19,"Gabon","GAB","Africa"
20,"Gambia","GMB","Africa"
21,"Ghana","GHA","Africa"
22,"Guinea","GIN","Africa"
23,"Guinea-Bissau","GNB","Africa"
24,"Ivory Coast",NULL,"Africa"
25,"Kenya","KEN","Africa"
26,"Lesotho","LSO","Africa"
27,"Liberia","LBR","Africa"
28,"Libya","LBY","Africa"
29,"Madagascar","MDG","Africa"
30,"Malawi","MWI","Africa"
31,"Mali","MLI","Africa"
32,"Mauritania","MRT","Africa"
33,"Mauritius","MRI","Africa"
34,"Mayotte","MYT","Africa"
35,"Morocco","MAR","Africa"
36,"Mozambique","MOZ","Africa"
37,"Namibia","NAM","Africa"
38,"Niger","NIG","Africa"
39,"Nigeria","NGR","Africa"
40,"Republic of the Congo",NULL,"Africa"
41,"Reunion","REU","Africa"
42,"Rwanda","RWA","Africa"
43,"Sao Tome and Principe","STP","Africa"
44,"Senegal","SEN","Africa"
45,"Seychelles","SYC","Africa"
46,"Sierra Leone","SLE","Africa"
47,"Somalia","SOM","Africa"
48,"South Africa","RSA","Africa"
49,"South Sudan","SSD","Africa"
50,"Sudan","SUD","Africa"
51,"Tanzania","TZA","Africa"
52,"Togo","TOG","Africa"
53,"Tunisia","TUN","Africa"
54,"Uganda","UGA","Africa"
55,"Western Sahara","ESH","Africa"
56,"Zambia","ZAM","Africa"
57,"Zimbabwe","ZIM","Africa"
58,"Afghanistan","AFG","Asia"
59,"Armenia","ARM","Asia"
60,"Azerbaijan","AZE","Asia"
61,"Bahrain","BRN","Asia"
62,"Bangladesh","BGD","Asia"
63,"Bhutan","BTN","Asia"
64,"Brunei","BRN","Asia"
65,"Cambodia","KHM","Asia"
66,"China","CHN","Asia"
67,"Georgia","GEO","Asia"
68,"Hong Kong","HKG","Asia"
69,"India","IND","Asia"
70,"Indonesia","INA","Asia"
71,"Iran","IRN","Asia"
72,"Iraq","IRQ","Asia"
73,"Israel","ISR","Asia"
74,"Japan","JPN","Asia"
75,"Jordan","JOR","Asia"
76,"Kazakhstan","KAZ","Asia"
77,"Kuwait","KUW","Asia"
78,"Kyrgyzstan","KGZ","Asia"
79,"Laos","LAO","Asia"
80,"Lebanon","LBN","Asia"
81,"Macau",NULL,"Asia"
82,"Malaysia","MAS","Asia"
83,"Maldives","MDV","Asia"
84,"Mongolia","MGL","Asia"
85,"Myanmar","MMR","Asia"
86,"Nepal","NPL","Asia"
87,"North Korea","PRK","Asia"
88,"Oman","OMN","Asia"
89,"Pakistan","PAK","Asia"
90,"Palestine","PSE","Asia"
91,"Philippines","PHI","Asia"
92,"Qatar","QAT","Asia"
93,"Saudi Arabia","KSA","Asia"
94,"Singapore","SGP","Asia"
95,"South Korea","KOR","Asia"
96,"Sri Lanka","SRI","Asia"
97,"Syria","SYR","Asia"
98,"Taiwan","TWN","Asia"
99,"Tajikistan","TJK","Asia"
100,"Thailand","THA","Asia"
101,"Timor-Leste","TLS","Asia"
102,"Turkey","TUR","Asia"
103,"Turkmenistan","TKM","Asia"
104,"United Arab Emirates","UAE","Asia"
105,"Uzbekistan","UZB","Asia"
106,"Vietnam","VIE","Asia"
107,"Yemen","YEM","Asia"
108,"Albania","ALB","Europe"
109,"Andorra","AND","Europe"
110,"Austria","AUT","Europe"
111,"Belarus","BLR","Europe"
112,"Belgium","BEL","Europe"
113,"Bosnia and Herzegovina","BIH","Europe"
114,"Bulgaria","BUL","Europe"
115,"Croatia","CRO","Europe"
116,"Cyprus","CYP","Europe"
117,"Czech Republic","CZE","Europe"
118,"Denmark","DEN","Europe"
119,"Estonia","EST","Europe"
120,"Faroe Islands","FRO","Europe"
121,"Finland","FIN","Europe"
122,"France","FRA","Europe"
