"event_id","discipline","event_title"
1,"3x3 Basketball","Men"
2,"Alpine Skiing","alpin combined men"
3,"Alpine Skiing","alpine combined men"
4,"Alpine Skiing","slalom men"
5,"Alpine Skiing","Ladies’ Downhill"
6,"Alpine Skiing","Ladies’ Giant Slalom"
7,"Alpine Skiing","Ladies’ Slalom"
8,"Alpine Skiing","Men’s Super-G"
9,"Alpine Skiing","Men’s Slalom"
10,"Alpine Skiing","Women's Giant Slalom"
11,"Alpine Skiing","Men’s Giant Slalom"
12,"Alpine Skiing","Men’s Alpine Combined"
13,"Alpine Skiing","Ladies’ Alpine Combined"
14,"Alpine Skiing","Women's Slalom"
15,"Alpine Skiing","Men's Slalom"
16,"Alpine Skiing","Men's Downhill"
17,"Alpine Skiing","Women's Super-G"
18,"Alpine Skiing","Men's Super-G"
19,"Alpine Skiing","Women's Downhill"
20,"Alpine Skiing","Mixed Team Parallel"
21,"Alpine Skiing","Men's Alpine Combined"
22,"Alpine Skiing","Men's Giant Slalom"
23,"Alpine Skiing","slalom women"
24,"Alpine Skiing","downhill women"
25,"Alpine Skiing","Women's Alpine Combined"
26,"Alpine Skiing","giant slalom men"
27,"Alpine Skiing","Alpine Team Event"
28,"Alpine Skiing","Ladies’ Super-G"
29,"Alpine Skiing","Men’s Downhill"
30,"Alpine Skiing","downhill men"
31,"Alpine Skiing","super-G men"
32,"Alpine Skiing","alpine combined women"
33,"Alpine Skiing","giant slalom women"
34,"Alpine Skiing","super-G women"
35,"Archery","Individual competition men"
36,"Archery","continental style 50m men"
37,"Archery","moving bird target 50m teams men"
38,"Archery","moving bird target 28m men"
39,"Archery","au cordon dor 33m men"
40,"Archery","moving bird target 33m men"
41,"Archery","au cordon dor 50m men"
42,"Archery","au chapelet 33m men"
43,"Archery","teams FITA round women"
44,"Archery","Individual Competition women"
45,"Archery","sur la perche à la pyramide men"
46,"Archery","individual FITA round men"
47,"Archery","individual FITA round women"
48,"Archery","au chapelet 50m men"
49,"Archery","sur la perche à la herse men"
50,"Archery","team FITA Olympic round  70m men"
51,"Archery","moving bird target 33m teams men"
52,"Archery","Championnat Du Monde Men"
53,"Archery","individual FITA Olympic round  70m men"
54,"Archery","individual FITA Olympic round  70m women"
55,"Archery","team competition men"
56,"Archery","fixed bird target small birds men"
57,"Archery","moving bird target 28m teams men"
58,"Archery","Men's Team"
59,"Archery","Mixed Team"
60,"Archery","Women's Team"
61,"Archery","fixed bird target large birds teams men"
62,"Archery","Men's Individual"
63,"Archery","Women's Individual"
64,"Archery","moving bird target 50m men"
65,"Archery","fixed bird target large birds men"
66,"Archery","fixed bird target small bird teams men"
67,"Archery","team FITA Olympic round  70m women"
68,"Artistic Gymnastics","Men's Team"
69,"Artistic Gymnastics","Women's All-Around"
70,"Artistic Gymnastics","Men's All-Around"
71,"Artistic Gymnastics","Women's Vault"
72,"Artistic Gymnastics","Men's Horizontal Bar"
73,"Artistic Gymnastics","Men's Parallel Bars"
74,"Artistic Gymnastics","Men's Vault"
75,"Artistic Gymnastics","Women's Floor Exercise"
76,"Artistic Gymnastics","Women's Uneven Bars"
77,"Artistic Gymnastics","Men's Floor Exercise"
78,"Artistic Gymnastics","Men's Rings"
79,"Artistic Gymnastics","Men's Pommel Horse"
80,"Artistic Swimming","Team"
81,"Artistic Swimming","Duet"
82,"Athletics","400m hurdles men"
83,"Athletics","long jump women"
84,"Athletics","4x400m relay men"
85,"Athletics","4x100m relay women"
86,"Athletics","400m men"
87,"Athletics","discus throw women"
88,"Athletics","high jump women"
89,"Athletics","20km walk men"
90,"Athletics","110m hurdles men"
91,"Athletics","javelin throw women"
92,"Athletics","400m hurdles women"
93,"Athletics","3000m steeplechase men"
94,"Athletics","long jump men"
95,"Athletics","100m women"
96,"Athletics","marathon men"
97,"Athletics","5000m women"
98,"Athletics","javelin throw men"
99,"Athletics","hammer throw women"
100,"Athletics","4x400m relay women"
101,"Athletics","50km walk men"
102,"Athletics","pole vault men"
103,"Athletics","3000m steeplechase women"
104,"Athletics","marathon women"
105,"Athletics","100m men"
106,"Athletics","triple jump women"
107,"Athletics","decathlon men"
108,"Athletics","discus throw men"
109,"Athletics","pole vault women"
110,"Athletics","10000m women"
111,"Athletics","shot put women"
112,"Athletics","200m men"
113,"Athletics","shot put men"
114,"Athletics","heptathlon women"
115,"Athletics","1500m men"
116,"Athletics","800m men"
117,"Athletics","4x100m relay men"
118,"Athletics","1500m women"
119,"Athletics","Women's 100m Hurdles"
120,"Athletics","5 miles 8047m men"
121,"Athletics","Women's Hammer Throw"
122,"Athletics","Women's 20km Race Walk"
123,"Athletics","Women's Shot Put"
124,"Athletics","Men's 800m"
125,"Athletics","Women's Triple Jump"
126,"Athletics","Women's Marathon"
127,"Athletics","Women's 100m"
128,"Athletics","Women's 400m"
129,"Athletics","Women's 1500m"
130,"Athletics","4 x 400m Relay Mixed"
131,"Athletics","Men's Triple Jump"
132,"Athletics","Women's 3000m Steeplechase"
133,"Athletics","Women's 4 x 100m Relay"
134,"Athletics","Men's Shot Put"
135,"Athletics","Women's Long Jump"
136,"Athletics","Women's 5000m"
137,"Athletics","Men's Marathon"
138,"Athletics","Women's Javelin Throw"
139,"Athletics","Men's 110m Hurdles"
140,"Athletics","Men's Long Jump"
141,"Athletics","Men's Javelin Throw"
142,"Athletics","Men's High Jump"
143,"Athletics","high jump men"
144,"Athletics","Women's Discus Throw"
145,"Athletics","Women's 10,000m"
146,"Athletics","hammer throw men"
147,"Athletics","200m women"
148,"Athletics","60m men"
149,"Athletics","5000m team men"
150,"Athletics","200m hurdles men"
151,"Athletics","Men's 5000m"
152,"Athletics","Men's 1500m"
153,"Athletics","Women's Heptathlon"
154,"Athletics","Men's 400m"
155,"Athletics","Men's 20km Race Walk"
156,"Athletics","Men's 4 x 400m Relay"
157,"Athletics","Women's High Jump"
158,"Athletics","Women's 200m"
159,"Athletics","Men's 4 x 100m Relay"
160,"Athletics","Men's Discus Throw"
161,"Athletics","Men's 400m Hurdles"
162,"Athletics","Men's 10,000m"
163,"Athletics","Women's 400m Hurdles"
164,"Athletics","Men's Pole Vault"
165,"Athletics","Men's 100m"
166,"Athletics","Men's Decathlon"
167,"Athletics","Men's 3000m Steeplechase"
168,"Athletics","Men's Hammer Throw"
169,"Athletics","Women's 4 x 400m Relay"
170,"Athletics","20km race walk women"
171,"Athletics","1,600 metres Medley Relay Men"
172,"Athletics","800m women"
173,"Athletics","shot put both hands men"
174,"Athletics","high jump standing men"
175,"Athletics","javelin throw both hands men"
176,"Athletics","triple jump men"
177,"Athletics","100m hurdles women"
178,"Athletics","3000m walk men"
179,"Athletics","56lb weight throw 254kg men"
180,"Athletics","5000m men"
181,"Athletics","3000m team men"
182,"Athletics","cross country individual men"
183,"Athletics","pentathlon men"
184,"Athletics","cross country team men"
185,"Athletics","10000m walk men"
186,"Athletics","80m hurdles women"
187,"Athletics","pentathlon women"
188,"Athletics","10000m walk women"
189,"Athletics","3000m women"
190,"Athletics","discus throw both hands men"
191,"Athletics","long jump standing men"
192,"Athletics","Men's 200m"
193,"Athletics","3miles team 4828m men"
194,"Athletics","javelin throw freestyle men"
195,"Athletics","Men's 50km Race Walk"
196,"Athletics","10000m men"
197,"Athletics","400m women"
198,"Athletics","discus throw ancient style men"
199,"Badminton","Mixed Doubles"
200,"Badminton","Women's Doubles"
201,"Badminton","Men's Singles"
202,"Badminton","Women's Singles"
203,"Badminton","doubles women"
204,"Badminton","Singles women"
205,"Badminton","Singles men"
206,"Badminton","Men's Doubles"
207,"Badminton","Doubles mixed"
208,"Badminton","doubles men"
209,"Baseball","baseball men"
210,"Baseball/Softball","Softball"
211,"Baseball/Softball","Baseball"
212,"Basketball","basketball men"
213,"Basketball","basketball women"
214,"Basketball","Men"
215,"Basketball","Women"
216,"Basque Pelota","cesta punta men"
217,"Beach Volleyball","Men"
218,"Beach Volleyball","Women"
219,"Beach Volleyball","Beach volleyball women"
220,"Beach Volleyball","Beach volleyball men"
221,"Biathlon","Women's 7.5km Sprint"
222,"Biathlon","Women's 15km Individual"
223,"Biathlon","Men's 4x7.5km Relay"
224,"Biathlon","Men's 20km Individual"
225,"Biathlon","Men's 15km Mass Start"
226,"Biathlon","Women's 4x6km Relay"
227,"Biathlon","Women’s 10km Pursuit"
228,"Biathlon","Men's 10km Sprint"
229,"Biathlon","Women’s 12.5km Mass Start"
230,"Biathlon","Women’s 7.5km Sprint"
231,"Biathlon","Men’s 12.5km Pursuit"
232,"Biathlon","Men’s 10km Sprint"
233,"Biathlon","Women’s 15km Individual"
234,"Biathlon","Men’s 20km Individual"
235,"Biathlon","125km pursuit men"
236,"Biathlon","2x6km Women + 2x7.5km Men Mixed Relay"
237,"Biathlon","Women's 10km Pursuit"
238,"Biathlon","Women's 12.5km Mass Start"
239,"Biathlon","Mixed Relay 4x6km (W+M)"
240,"Biathlon","Men's 12.5km Pursuit"
241,"Biathlon","4x75km relay women"
242,"Biathlon","Men’s 4x7.5km Relay"
243,"Biathlon","Women’s 4x6km Relay"
244,"Biathlon","75km women"
245,"Biathlon","7.5km women"
246,"Biathlon","3x75km relay women"
247,"Biathlon","12.5km pursuit men"
248,"Biathlon","15km mass start men"
249,"Biathlon","4x6km relay women"
250,"Biathlon","4x7.5km relay men"
251,"Biathlon","Men’s 15km Mass Start"
252,"Biathlon","20km men"
253,"Biathlon","Relay mix mixed"
254,"Biathlon","10km pursuit women"
255,"Biathlon","10km men"
256,"Biathlon","15km women"
257,"Biathlon","12.5km mass start women"
258,"Biathlon","125km mass start women"
259,"Biathlon","4x75km relay men"
260,"Bobsleigh","2-man"
261,"Bobsleigh","fourman men"
262,"Bobsleigh","two-man men"
263,"Bobsleigh","2-woman"
264,"Bobsleigh","Two-man"
265,"Bobsleigh","four-man men"
266,"Bobsleigh","Four-man"
267,"Bobsleigh","twoman men"
268,"Bobsleigh","fiveman men"
269,"Bobsleigh","4-man"
270,"Bobsleigh","Women's Monobob"
271,"Bobsleigh","Women’s Bobsleigh"
272,"Bobsleigh","two-woman women"
273,"Boxing","54 - 58kg (featherweight) men"
274,"Boxing","67-71kg lightmiddleweight men"
275,"Boxing","Flyweight men"
276,"Boxing","67  73kg middleweight men"
277,"Boxing","60 - 63.5kg (light-welterweight) men"
278,"Boxing","63.5 - 67kg (welterweight) men"
279,"Boxing","73  80kg lightheavyweight men"
280,"Boxing","Lightheavyweight men"
281,"Boxing","58  62kg lightweight men"
282,"Boxing","Heavyweight men"
