"host_id","game_slug","game_location"
1,"albertville-1992","France"
2,"amsterdam-1928","Netherlands"
3,"antwerp-1920","Belgium"
4,"athens-1896","Greece"
5,"athens-2004","Greece"
6,"atlanta-1996","United States"
7,"barcelona-1992","Spain"
8,"beijing-2008","China"
9,"beijing-2022","China"
10,"berlin-1936","Germany"
11,"calgary-1988","Canada"
12,"chamonix-1924","France"
13,"cortina-d-ampezzo-1956","Italy"
14,"garmisch-partenkirchen-1936","Germany"
15,"grenoble-1968","France"
16,"helsinki-1952","Finland"
17,"innsbruck-1964","Austria"
18,"innsbruck-1976","Austria"
19,"lake-placid-1932","United States"
20,"lake-placid-1980","United States"
21,"lillehammer-1994","Norway"
22,"london-1908","Great Britain"
23,"london-1948","Great Britain"
24,"london-2012","Great Britain"
25,"los-angeles-1932","United States"
26,"los-angeles-1984","United States"
27,"melbourne-1956","Australia, Sweden"
28,"mexico-city-1968","Mexico"
29,"montreal-1976","Canada"
30,"moscow-1980","USSR"
31,"munich-1972","Federal Republic of Germany"
32,"nagano-1998","Japan"
33,"oslo-1952","Norway"
34,"paris-1900","France"
35,"paris-1924","France"
36,"pyeongchang-2018","Republic of Korea"
37,"rio-2016","Brazil"
38,"rome-1960","Italy"
39,"salt-lake-city-2002","United States"
40,"sapporo-1972","Japan"
41,"sarajevo-1984","Yugoslavia"
42,"seoul-1988","Republic of Korea"
43,"sochi-2014","Russian Federation"
44,"squaw-valley-1960","United States"
45,"st-louis-1904","United States"
46,"st-moritz-1928","Switzerland"
47,"st-moritz-1948","Switzerland"
48,"stockholm-1912","Sweden"
49,"sydney-2000","Australia"
50,"tokyo-1964","Japan"
51,"tokyo-2020","Japan"
52,"turin-2006","Italy"
53,"vancouver-2010","Canada"
