"time_id","year","game_season"
1,1896,"Summer"
2,1900,"Summer"
3,1904,"Summer"
4,1908,"Summer"
5,1912,"Summer"
6,1920,"Summer"
7,1924,"Winter"
8,1924,"Summer"
9,1928,"Winter"
10,1928,"Summer"
11,1932,"Winter"
12,1932,"Summer"
13,1936,"Summer"
14,1936,"Winter"
15,1948,"Summer"
16,1948,"Winter"
17,1952,"Winter"
18,1952,"Summer"
19,1956,"Winter"
20,1956,"Summer"
21,1960,"Winter"
22,1960,"Summer"
23,1964,"Winter"
24,1964,"Summer"
25,1968,"Winter"
26,1968,"Summer"
27,1972,"Winter"
28,1972,"Summer"
29,1976,"Winter"
30,1976,"Summer"
31,1980,"Winter"
32,1980,"Summer"
33,1984,"Winter"
34,1984,"Summer"
35,1988,"Winter"
36,1988,"Summer"
37,1992,"Winter"
38,1992,"Summer"
39,1994,"Winter"
40,1996,"Summer"
41,1998,"Winter"
42,2000,"Summer"
43,2002,"Winter"
44,2004,"Summer"
45,2006,"Winter"
46,2008,"Summer"
47,2010,"Winter"
48,2012,"Summer"
49,2014,"Winter"
50,2016,"Summer"
51,2018,"Winter"
52,2020,"Summer"
53,2022,"Winter"
