"country","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028"
"Afghanistan",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"17.8870","18.7070","19.4770","20.2370","20.9470","21.5960","22.4260","22.9970","23.5960","24.2690","25.0310","25.8640","26.7360","27.6010","28.4250","29.2000","29.7000","31.6000","32.2000","32.9410","33.6980","34.2630",NULL,NULL,NULL,NULL,NULL,NULL
"Albania","2.6720","2.7260","2.7840","2.8440","2.9040","2.9650","3.0230","3.0840","3.1420","3.2280","3.2870","3.2670","3.2470","3.2270","3.2080","3.1880","3.1680","3.1480","3.1290","3.1090","3.0890","3.0600","3.0510","3.0400","3.0270","3.0110","2.9930","2.9700","2.9470","2.9280","2.9130","2.9050","2.9000","2.8950","2.8890","2.8810","2.8760","2.8840","2.8830","2.8810","2.8780","2.8730","2.8660","2.8580","2.8500","2.8400","2.8310","2.8210","2.8100"
"Algeria","18.6660","19.2460","19.8640","20.5160","21.1750","22.2000","22.8000","23.4000","24.1000","24.7000","25.0220","25.6430","26.2710","26.8940","27.4960","28.0600","28.5660","29.0450","29.5070","29.9650","30.5060","30.9540","31.4140","31.8850","32.3660","32.8550","33.3510","33.8580","34.5910","35.2680","35.9780","36.7170","37.4950","38.2970","39.1140","39.9630","40.8360","41.7210","42.5780","43.4240","43.8510","44.5770","45.2910","45.9730","46.6260","47.2510","47.8510","48.4280","48.9830"
"Andorra",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.0700","0.0700","0.0700","0.0700","0.0710","0.0720","0.0730","0.0750","0.0760","0.0780","0.0780","0.0800","0.0820","0.0840","0.0860","0.0880","0.0900","0.0930","0.0950"
"Angola","8.2720","8.4950","8.7200","8.9480","9.1850","10.3500","10.6460","10.9180","11.2140","11.5210","11.8290","12.2290","12.6330","13.0380","13.4620","13.9120","14.3830","14.8710","15.3670","15.8710","16.3940","16.9420","17.5160","18.1240","18.7710","19.4510","20.1620","20.9100","21.6920","22.5080","23.3640","24.2590","25.1880","26.1470","27.1280","28.1280","29.1550","30.2090","31.2740","32.3540","33.4280","34.5040","35.7110","36.7830","37.8860","39.0230","40.1940","41.3990","42.6410"
"Antigua and Barbuda","0.0680","0.0680","0.0670","0.0660","0.0650","0.0640","0.0630","0.0620","0.0610","0.0600","0.0600","0.0610","0.0620","0.0630","0.0650","0.0670","0.0680","0.0700","0.0720","0.0740","0.0760","0.0770","0.0780","0.0780","0.0790","0.0800","0.0810","0.0820","0.0830","0.0840","0.0850","0.0860","0.0870","0.0880","0.0890","0.0910","0.0920","0.0940","0.0950","0.0960","0.0980","0.0990","0.1010","0.1020","0.1040","0.1050","0.1060","0.1080","0.1090"
"Argentina","27.9500","28.4500","28.9300","29.3400","29.8400","30.3500","30.7400","31.0900","31.4700","31.8600","32.5300","32.9700","33.4200","33.9170","34.3530","34.7790","35.1960","35.6040","36.0050","36.3990","36.7840","37.1560","37.5160","37.8700","38.2260","38.5920","38.9710","39.3560","39.7460","40.1340","40.7880","41.2610","41.7330","42.2030","42.6700","43.1320","43.5900","44.0450","44.4950","44.9390","45.3880","45.8420","46.3000","46.7630","47.2310","47.7030","48.1800","48.6620","49.1490"
"Armenia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3.5100","3.5100","3.4500","3.3700","3.2900","3.2200","3.1700","3.1400","3.1100","3.0900","3.0800","3.0600","3.0500","3.0400","3.0300","3.0100","3.0000","2.9900","2.9800","2.9700","2.9660","2.9680","2.9700","2.9800","2.9850","2.9900","2.9930","2.9790","2.9690","2.9630","2.9620","2.9620","2.9620","2.9630","2.9630","2.9630","2.9630","2.9640","2.9640"
"Aruba",NULL,NULL,NULL,NULL,NULL,NULL,"0.0610","0.0600","0.0610","0.0620","0.0640","0.0670","0.0690","0.0740","0.0780","0.0800","0.0830","0.0860","0.0880","0.0900","0.0910","0.0910","0.0920","0.0930","0.0950","0.0980","0.0990","0.1000","0.1010","0.1020","0.1020","0.1030","0.1040","0.1060","0.1070","0.1080","0.1090","0.1090","0.1090","0.1090","0.1090","0.1080","0.1070","0.1070","0.1070","0.1070","0.1070","0.1070","0.1060"
"Australia","14.8020","15.0390","15.2890","15.4830","15.6770","15.9010","16.1390","16.3950","16.6870","16.9370","17.1700","17.3790","17.5570","17.7190","17.8930","18.1200","18.3300","18.5100","18.7060","18.9190","19.1410","19.3860","19.6050","19.8270","20.0460","20.3120","20.6280","21.0160","21.4760","21.8660","22.1720","22.5220","22.9280","23.2980","23.6400","23.9850","24.3850","24.7590","25.1460","25.5200","25.6310","25.7720","26.2680","26.5840","26.9290","27.2660","27.5930","27.9240","28.2590"
