"medal_id","discipline_title","slug_game","event_title","event_gender","medal_type","participant_type","participant_title","athlete_url","athlete_full_name","country_name","country_code","country_3_letter_code"
1,"Curling","beijing-2022","Mixed Doubles","Mixed","GOLD","GameTeam","Italy","https://olympics.com/en/athletes/stefania-constantini","Stefania CONSTANTINI","Italy","IT","ITA"
2,"Curling","beijing-2022","Mixed Doubles","Mixed","GOLD","GameTeam","Italy","https://olympics.com/en/athletes/amos-mosaner","Amos MOSANER","Italy","IT","ITA"
3,"Curling","beijing-2022","Mixed Doubles","Mixed","SILVER","GameTeam","Norway","https://olympics.com/en/athletes/kristin-skaslien","Kristin SKASLIEN","Norway","NO","NOR"
4,"Curling","beijing-2022","Mixed Doubles","Mixed","SILVER","GameTeam","Norway","https://olympics.com/en/athletes/magnus-nedregotten","Magnus NEDREGOTTEN","Norway","NO","NOR"
5,"Curling","beijing-2022","Mixed Doubles","Mixed","BRONZE","GameTeam","Sweden","https://olympics.com/en/athletes/almida-de-val","Almida DE VAL","Sweden","SE","SWE"
6,"Curling","beijing-2022","Mixed Doubles","Mixed","BRONZE","GameTeam","Sweden","https://olympics.com/en/athletes/oskar-eriksson","Oskar ERIKSSON","Sweden","SE","SWE"
7,"Curling","beijing-2022","Women","Women","GOLD","GameTeam","Great Britain",NULL,NULL,"Great Britain","GB","GBR"
8,"Curling","beijing-2022","Women","Women","SILVER","GameTeam","Japan",NULL,NULL,"Japan","JP","JPN"
9,"Curling","beijing-2022","Women","Women","BRONZE","GameTeam","Sweden",NULL,NULL,"Sweden","SE","SWE"
10,"Curling","beijing-2022","Men","Men","GOLD","GameTeam","Sweden",NULL,NULL,"Sweden","SE","SWE"
11,"Curling","beijing-2022","Men","Men","SILVER","GameTeam","Great Britain",NULL,NULL,"Great Britain","GB","GBR"
12,"Curling","beijing-2022","Men","Men","BRONZE","GameTeam","Canada",NULL,NULL,"Canada","CA","CAN"
13,"Freestyle Skiing","beijing-2022","Men's Moguls","Men","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/mikael-kingsbury","Mikael KINGSBURY","Canada","CA","CAN"
14,"Freestyle Skiing","beijing-2022","Men's Moguls","Men","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/wallberg","Walter WALLBERG","Sweden","SE","SWE"
15,"Freestyle Skiing","beijing-2022","Men's Moguls","Men","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/ikuma-horishima","Ikuma HORISHIMA","Japan","JP","JPN"
16,"Freestyle Skiing","beijing-2022","Men's Freeski Halfpipe","Men","GOLD","Athlete",NULL,"https://olympics.com/en/athletes/nico-porteous","Nico PORTEOUS","New Zealand","NZ","NZL"
17,"Freestyle Skiing","beijing-2022","Men's Freeski Halfpipe","Men","SILVER","Athlete",NULL,"https://olympics.com/en/athletes/david-wise","David WISE","United States of America","US","USA"
18,"Freestyle Skiing","beijing-2022","Men's Freeski Halfpipe","Men","BRONZE","Athlete",NULL,"https://olympics.com/en/athletes/alex-ferreira","Alex FERREIRA","United States of America","US","USA"
